Create itemsets.
Merge itemsets.
Create parsing table.
19.33 seconds used to create parser.
================= Action Table =================
(0, identifier) => (s65)
(0, write) => (s3)
(0, read) => (s2)
(0, while) => (s121)
(0, do) => (s126)
(0, if) => (s110)
(0, function) => (s13)
(1, zero) => (acc)
(9, number) => (s84)
(9, string) => (s91)
(9, 0+) => (s67)
(9, 0-) => (s66)
(9, identifier) => (s65)
(9, () => (s35)
(63, zero) => (r262144)
(63, newline) => (r262144)
(63, ;) => (r262144)
(63, }) => (r262144)
(64, zero) => (r262146)
(64, newline) => (r262146)
(64, ;) => (r262146)
(64, }) => (r262146)
(65, zero) => (r65536)
(65, newline) => (r65536)
(65, () => (r65536)
(65, /) => (r65536)
(65, )) => (r65536)
(65, ;) => (r65536)
(65, <) => (r65536)
(65, }) => (r65536)
(65, =) => (r65536)
(65, +) => (r65536)
(65, <=) => (r65536)
(65, ==) => (r65536)
(65, >=) => (r65536)
(65, >) => (r65536)
(65, *) => (r65536)
(65, -) => (r65536)
(65, ,) => (r65536)
(84, zero) => (r131072)
(84, newline) => (r131072)
(84, /) => (r131072)
(84, )) => (r131072)
(84, ;) => (r131072)
(84, <) => (r131072)
(84, }) => (r131072)
(84, +) => (r131072)
(84, <=) => (r131072)
(84, ==) => (r131072)
(84, >=) => (r131072)
(84, >) => (r131072)
(84, *) => (r131072)
(84, -) => (r131072)
(84, ,) => (r131072)
(85, zero) => (r131073)
(85, newline) => (r131073)
(85, /) => (r131073)
(85, )) => (r131073)
(85, ;) => (r131073)
(85, <) => (r131073)
(85, }) => (r131073)
(85, +) => (r131073)
(85, <=) => (r131073)
(85, ==) => (r131073)
(85, >=) => (r131073)
(85, >) => (r131073)
(85, *) => (r131073)
(85, -) => (r131073)
(85, ,) => (r131073)
(87, zero) => (r131074)
(87, newline) => (r131074)
(87, /) => (r131074)
(87, )) => (r131074)
(87, ;) => (r131074)
(87, <) => (r131074)
(87, }) => (r131074)
(87, +) => (r131074)
(87, <=) => (r131074)
(87, ==) => (r131074)
(87, >=) => (r131074)
(87, >) => (r131074)
(87, *) => (r131074)
(87, -) => (r131074)
(87, ,) => (r131074)
(88, zero) => (r131075)
(88, newline) => (r131075)
(88, /) => (r131075)
(88, )) => (r131075)
(88, ;) => (r131075)
(88, <) => (r131075)
(88, }) => (r131075)
(88, +) => (r131075)
(88, <=) => (r131075)
(88, ==) => (r131075)
(88, >=) => (r131075)
(88, >) => (r131075)
(88, *) => (r131075)
(88, -) => (r131075)
(88, ,) => (r131075)
(90, zero) => (r131076)
(90, newline) => (r131076)
(90, /) => (r131076)
(90, )) => (r131076)
(90, ;) => (r131076)
(90, <) => (r131076)
(90, }) => (r131076)
(90, +) => (r131076)
(90, <=) => (r131076)
(90, ==) => (r131076)
